1	249250621	454354527	4326924
2	243199373	486090811	4225341
3	198022430	401389166	3403240
4	191154276	391701480	3283864
5	180915260	364266398	3067951
6	171115067	350341719	3153402
7	159138663	311761045	2877841
8	146364022	293291427	2760776
9	141213431	228317976	2128549
10	135534747	260046397	2448717
11	135006516	263445782	2401137
12	133851895	266809384	2500718
13	115169878	197280526	1655053
14	107349540	181466382	1646995
15	102531392	160738567	1532456
16	90354753	165146085	2120351
17	81195210	150984074	1808504
18	78077248	152004605	1315730
19	59128983	102271398	1483320
20	63025520	114727471	1162975
21	48129895	75072266	760664
22	51304566	63855761	784829
X	155270560	154314023	1341330
Y	59373566	20443152	275477
MT	16569	14937251	189989
GL000207.1	4262	8527	534
GL000226.1	15008	3022458	11554
GL000229.1	19913	59195	860
GL000231.1	27386	85986	1279
GL000210.1	27682	9103	270
GL000239.1	33824	35756	1124
GL000235.1	34474	127442	3020
GL000201.1	36148	3826	80
GL000247.1	36422	35014	419
GL000245.1	36651	17842	140
GL000197.1	37175	1494	31
GL000203.1	37498	35265	541
GL000246.1	38154	37597	196
GL000249.1	38502	1366	4
GL000196.1	38914	7317	33
GL000248.1	39786	20593	173
GL000244.1	39929	19605	225
GL000238.1	39939	29246	137
GL000202.1	40103	30005	534
GL000234.1	40531	144313	3350
GL000232.1	40652	144673	2044
GL000206.1	41001	13517	182
GL000240.1	41933	68516	923
GL000236.1	41934	11337	76
GL000241.1	42152	203384	6354
GL000243.1	43341	99393	903
GL000242.1	43523	11271	81
GL000230.1	43691	37026	317
GL000237.1	45867	145999	3739
GL000233.1	45941	35340	659
GL000204.1	81310	86971	980
GL000198.1	90085	93526	2664
GL000208.1	92689	782221	25028
GL000191.1	106433	82496	706
GL000227.1	128374	31220	316
GL000228.1	129120	73308	7278
GL000214.1	137718	1595959	31365
GL000221.1	155397	252866	1508
GL000209.1	159169	193786	1554
GL000218.1	161147	533755	4852
GL000220.1	161802	14289040	441160
GL000213.1	164239	69179	511
GL000211.1	166566	330834	2954
GL000199.1	169874	1289538	53700
GL000217.1	172149	193011	3759
GL000216.1	172294	346460	20432
GL000215.1	172545	21082	127
GL000205.1	174588	1037492	11918
GL000219.1	179198	524760	11680
GL000224.1	179693	1328260	17118
GL000223.1	180455	11986	107
GL000195.1	182896	1255865	17517
GL000212.1	186858	437491	10352
GL000222.1	186861	128147	3078
GL000200.1	187035	174	4
GL000193.1	189789	807206	9930
GL000194.1	191469	802294	7481
GL000225.1	211173	376238	43856
GL000192.1	547496	755927	5963
NC_007605	171823	2709540	36375
hs37d5	35477943	255203444	27237693
*	0	0	267829648
