1	249250621	432904805	4191309
2	243199373	465245953	4139743
3	198022430	385909490	3345468
4	191154276	376875953	3215101
5	180915260	349976488	3030098
6	171115067	334304355	3061634
7	159138663	299011359	2804913
8	146364022	281370599	2680164
9	141213431	218676442	2078063
10	135534747	249328472	2387461
11	135006516	251756437	2345154
12	133851895	255141830	2427412
13	115169878	189838909	1634416
14	107349540	173182133	1606997
15	102531392	154260251	1496190
16	90354753	160572832	2131153
17	81195210	143315192	1717710
18	78077248	146129315	1298290
19	59128983	96836363	1386672
20	63025520	109684061	1126304
21	48129895	72241783	734822
22	51304566	60281025	746325
X	155270560	147919166	1306573
Y	59373566	19774927	263644
MT	16569	12311276	171294
GL000207.1	4262	8083	522
GL000226.1	15008	3270508	14328
GL000229.1	19913	57075	773
GL000231.1	27386	84596	1468
GL000210.1	27682	11550	292
GL000239.1	33824	30097	865
GL000235.1	34474	163765	3675
GL000201.1	36148	1896	60
GL000247.1	36422	27997	307
GL000245.1	36651	13786	122
GL000197.1	37175	1175	29
GL000203.1	37498	30133	482
GL000246.1	38154	35811	175
GL000249.1	38502	681	3
GL000196.1	38914	2974	18
GL000248.1	39786	15095	128
GL000244.1	39929	11154	133
GL000238.1	39939	21538	94
GL000202.1	40103	28176	433
GL000234.1	40531	142826	3735
GL000232.1	40652	142359	2249
GL000206.1	41001	8585	157
GL000240.1	41933	100569	1233
GL000236.1	41934	4743	33
GL000241.1	42152	200147	6052
GL000243.1	43341	97435	902
GL000242.1	43523	11722	70
GL000230.1	43691	50837	503
GL000237.1	45867	128721	3189
GL000233.1	45941	44345	791
GL000204.1	81310	81895	927
GL000198.1	90085	85206	2173
GL000208.1	92689	720310	21744
GL000191.1	106433	94917	740
GL000227.1	128374	28117	268
GL000228.1	129120	77471	8251
GL000214.1	137718	1529231	29046
GL000221.1	155397	253849	1487
GL000209.1	159169	108842	844
GL000218.1	161147	637924	6125
GL000220.1	161802	10477521	251346
GL000213.1	164239	12560	224
GL000211.1	166566	322588	3105
GL000199.1	169874	1676832	63162
GL000217.1	172149	201893	3548
GL000216.1	172294	545443	25258
GL000215.1	172545	20131	113
GL000205.1	174588	987489	12147
GL000219.1	179198	649127	13478
GL000224.1	179693	1611108	17758
GL000223.1	180455	16816	122
GL000195.1	182896	1195728	16721
GL000212.1	186858	404808	9194
GL000222.1	186861	74910	3540
GL000200.1	187035	140	4
GL000193.1	189789	789372	10159
GL000194.1	191469	578647	5994
GL000225.1	211173	684688	53341
GL000192.1	547496	724350	5634
NC_007605	171823	10537295	146447
hs37d5	35477943	237523041	24868827
*	0	0	274458898
